Date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
01/01/2000,7.3,3.1,9,1.8,,,2.3,,1024.5,
02/01/2000,9.5,8,11,,,225,11.6,,1025.2,
03/01/2000,9.4,5.6,11.2,2,,233,16.8,,1018.5,
04/01/2000,5.7,2.8,9.5,3.8,,,,,1014.8,
05/01/2000,7.1,1.9,,,,,,,,
06/01/2000,8.8,,,,,,,,,
07/01/2000,8.8,5.7,11.2,,,217,17.6,,1017.2,
08/01/2000,8.3,5.5,10.3,,,241,16.3,,1016.4,
09/01/2000,2.9,,7.2,,,,,,,
10/01/2000,1.3,-5.2,6.8,0,,,5.7,,,
11/01/2000,8.9,7.4,10.1,,,213,16.7,,1032.4,
12/01/2000,7.3,5.3,8.3,1.5,,207,23.2,,1023.4,
13/01/2000,4.7,2.3,6.4,2.5,,290,13.8,,1015.2,
14/01/2000,4,1.9,5.9,0.8,,350,11.6,,1022.9,
15/01/2000,5.2,3.3,6.7,,,36,12.7,,1036.4,
16/01/2000,4.6,3.4,6.7,,,323,7.5,,1040.2,
17/01/2000,5,2,8.8,,,289,11.4,,1037.6,
18/01/2000,6.6,3.8,8.1,,,322,13,,1034.9,
19/01/2000,6.1,4.1,7,0.8,,4,11.5,,1036.8,
20/01/2000,4.2,2.1,5.3,,,275,11.1,,1034.5,
21/01/2000,6.3,5.1,8.7,,,292,12.5,,1032.4,
22/01/2000,5.4,3.8,7.3,1.8,,303,20.6,,1020.1,
23/01/2000,3.6,0.7,6.6,1.5,,344,14.7,,1024.2,
24/01/2000,3.7,2.3,4.8,,,7,8.5,,1025.1,
25/01/2000,3.9,1.9,5.7,,,250,7.7,,1029.1,
26/01/2000,4.6,3.1,7.2,,,253,9.9,,1032.4,
27/01/2000,3,1.2,6.3,,,250,11.8,,1029.4,
28/01/2000,5.9,1.6,8.9,,,239,21.6,,1014.7,
29/01/2000,11.5,8.5,13.1,,,252,31.7,,1000,
30/01/2000,12,11.1,13.1,1.5,,252,26.8,,1012.6,
31/01/2000,11.7,10.8,13,1.5,,242,24,,1019.9,
01/02/2000,10,9.4,10.8,0.8,,206,19.1,,1015.1,
02/02/2000,7.9,4.9,9.8,,,295,15.1,,1021.1,
03/02/2000,7.5,5.7,9.2,,,243,13,,1033.2,
04/02/2000,9.7,8.1,11.3,1.5,,234,20.6,,1031.6,
05/02/2000,9.2,7.5,11.9,,,224,15.1,,1026.2,
06/02/2000,10.5,8.5,12,,,221,17.6,,1015.9,
07/02/2000,8.6,6.3,11.5,5.1,,236,22.8,,1010.2,
08/02/2000,9,5,13.7,1.8,,255,27.7,,1006,
09/02/2000,7.3,3.6,10.9,,,251,19.9,,1022.2,
10/02/2000,7,2.5,9.4,4.8,,249,25.1,,1015.5,
11/02/2000,6.7,3.2,10.3,,,240,14.5,,1027,
12/02/2000,7.9,6.6,9.3,5.8,,238,21.3,,1017.7,
13/02/2000,7.6,6,9.1,,,284,13.1,,1019.9,
14/02/2000,3.8,-3.6,9.7,,,,8.7,,,
15/02/2000,7.5,5.7,9.1,0.8,,246,16,,1013,
16/02/2000,4.4,1.8,8,,,271,26.8,,1004.3,
17/02/2000,5.1,1.4,8.4,,,272,15.3,,1010.5,
18/02/2000,9.3,7,10.8,2.8,,256,20.3,,1002.4,
19/02/2000,6.6,4.5,8,0.8,,324,15.6,,1014.9,
20/02/2000,3.1,-2.6,9.5,,,,3.1,,1029.7,
21/02/2000,6.1,2.8,10,0.5,,,9,,,
22/02/2000,6.9,3.8,10.2,,,146,8,,1023.8,
23/02/2000,9.3,6.3,11.6,1.5,,189,11.4,,,
24/02/2000,10.3,7.2,12.2,1.8,,239,14.4,,1020.2,
25/02/2000,5.5,2,10.1,,,266,8.3,,1027.6,
26/02/2000,7.5,4.1,10.3,,,215,10.8,,1028.6,
27/02/2000,10.7,9.1,12,1.5,,212,24.6,,1015.7,
28/02/2000,8.8,6.7,10.6,5.6,,241,23,,1009.7,
29/02/2000,7.8,5.5,10.1,7.9,,,,,,
01/03/2000,5.7,,9.3,0.8,,,,,,
02/03/2000,7.5,3.6,10.8,,,240,21.5,,1016.2,
03/03/2000,8.8,4.7,11.1,8.1,,282,25.4,,1006.9,
04/03/2000,4.5,1.5,7.3,,,293,16.4,,1026.7,
05/03/2000,6.2,2.7,9.6,,,251,13.3,,1031.9,
06/03/2000,8.8,5.8,11.3,,,233,16.8,,1026.7,
07/03/2000,11.6,9,14,1.5,,257,24.6,,,
08/03/2000,12.5,10.9,14.5,1.5,,244,23.7,,,
09/03/2000,13.6,12.2,16.5,,,271,22.5,,1024.9,
10/03/2000,11.4,8.3,13.8,,,244,16.4,,1026.5,
11/03/2000,10.7,8.4,13,,,295,15.6,,1022.1,
12/03/2000,10.3,6.5,14.3,,,266,10,,1026.2,
13/03/2000,9.5,3.3,13.9,,,242,7.7,,1026.4,
14/03/2000,10.5,6.6,13.1,,,284,22.1,,1024.3,
15/03/2000,8.2,4.1,12.3,,,293,15.5,,1033.6,
16/03/2000,9.5,6.9,11.8,,,291,12.7,,1034.1,
17/03/2000,9.2,8.2,10.2,,,318,10.2,,1034.2,
18/03/2000,8.3,,,,,,,,,
19/03/2000,7.5,4,11.9,,,47,11,,1035.8,
20/03/2000,7.6,1.8,13.9,,,,,,,
21/03/2000,8.7,4.8,14.1,,,86,10.2,,1022.2,
22/03/2000,8.5,3,16,,,,1,,1016.6,
23/03/2000,10,4.5,14.6,,,,11.1,,1010.6,
24/03/2000,10.3,7.1,14.4,2.8,,206,12.7,,1006.5,
25/03/2000,8.7,5.9,11.9,3,,215,13.9,,1009.3,
26/03/2000,6.3,1.6,11.2,,,,,,,
27/03/2000,6.4,4.3,9.4,2,,14,16.8,,1013.6,
28/03/2000,5.6,4.8,7.3,1.8,,29,20.4,,1020.5,
29/03/2000,5.7,4.2,7.1,1.8,,41,21.8,,1017.3,
30/03/2000,6.7,5.5,8.3,1.5,,30,15.3,,1014.4,
31/03/2000,7.3,5.3,10,,,41,7.6,,1007.5,
01/04/2000,8.2,5.2,12.4,0.8,,178,9.8,,1001,
02/04/2000,10.8,8.6,14.1,,,149,12.8,,997.3,
03/04/2000,8,4.6,10,19.8,,34,17.9,,989.1,
04/04/2000,3.2,1.9,4.4,15,,1,22.8,,998,
05/04/2000,5.5,2.5,9.6,1.5,,11,19.6,,1016.3,
06/04/2000,5.7,0.3,10.6,,,62,13.6,,,
07/04/2000,8.1,-0.2,15.1,,,,7.4,,1033,
08/04/2000,9.8,2,17.3,,,,4.6,,,
09/04/2000,9.8,6.3,14.8,4.8,,49,21.3,,1014.1,
10/04/2000,8,4.3,11.6,,,63,16.3,,1014.1,
11/04/2000,6.4,5,8.1,6.9,,203,9.9,,993.9,
12/04/2000,4.4,2.9,6.9,4.3,,239,13.2,,983.7,
13/04/2000,5.9,4,9.5,5.1,,273,13.5,,989.9,
14/04/2000,6.7,4,10.2,,,352,9.3,,,
15/04/2000,4.8,3.9,5.9,13.2,,13,19,,993.9,
16/04/2000,8.1,3.6,13.5,,,139,12.1,,995.9,
17/04/2000,9.4,6.9,12.4,6.1,,201,21,,993,
18/04/2000,10.3,7.5,13.7,,,189,13.2,,1001.4,
19/04/2000,12.3,8.3,17.5,,,194,12.2,,1006.1,
20/04/2000,13,11.4,14.7,,,191,15.3,,1005.7,
21/04/2000,11.9,,15.5,1.3,,,,,,
22/04/2000,11.4,,15.8,0.5,,,,,,
23/04/2000,11.4,7.2,15.1,,,230,8.5,,1010,
24/04/2000,10.4,5.8,15.3,1.5,,,,,,
25/04/2000,13,10.9,15.5,5.8,,171,15.5,,1005.4,
26/04/2000,12.4,10.6,16,4.1,,178,10.1,,1005,
27/04/2000,12.9,9.9,17.5,,,147,10.8,,1009.2,
28/04/2000,11.8,10.2,13,1.5,,43,10.6,,1007.5,
29/04/2000,14.5,10.2,19.7,,,212,11,,1014.1,
30/04/2000,12.5,11,14.5,,,59,8.8,,1021.9,
01/05/2000,12.2,7.8,15.8,,,47,13.7,,1023.9,
02/05/2000,10.9,8.7,14.3,,,48,16.5,,1025.4,
03/05/2000,9.8,8.5,11.4,0.8,,38,16.5,,1024,
04/05/2000,10,8.2,12.1,1.5,,45,16.5,,1022.4,
05/05/2000,12.5,7.3,19.3,,,40,19.4,,1017.2,
06/05/2000,16.8,9.4,25.5,,,60,12.2,,1012.5,
07/05/2000,18.3,14.2,22.5,,,66,9.9,,1014.3,
08/05/2000,14.9,10.4,18.6,0.8,,40,8.4,,1017,
09/05/2000,16.2,11.6,22.1,,,16,7.9,,1018.2,
10/05/2000,15,12.5,16.7,,,41,13.6,,1017.6,
11/05/2000,13.4,10.9,17.8,8.1,,38,20.5,,1018.3,
12/05/2000,13.9,9,18.5,1.5,,60,12,,1020.5,
13/05/2000,18.8,15,24.4,,,126,6.7,,1021.2,
14/05/2000,20.8,15.6,26.2,,,157,8.1,,1022.4,
15/05/2000,21.1,15.4,26.6,,,,9.6,,1017.6,
16/05/2000,17.8,11.7,22.4,,,,15.6,,1010.8,
17/05/2000,12.9,11.5,16,1.5,,240,26.1,,1008.9,
18/05/2000,11.1,7.2,15.5,9.1,,262,16.2,,,
19/05/2000,11.4,9,13.9,2.8,,275,16.7,,1008,
20/05/2000,12.5,8.1,16.7,,,242,10.5,,1012,
21/05/2000,11.7,8.4,16,13,,267,9.4,,,
22/05/2000,14.5,10,18.8,,,242,14.2,,1014.4,
23/05/2000,13.2,11.6,14.3,2.8,,,,,,
24/05/2000,13.3,9.3,17.5,1.8,,207,10.7,,1011.8,
25/05/2000,12.1,9.3,16.1,7.1,,273,21.4,,1010.7,
26/05/2000,12.1,10.7,14.2,15.7,,162,11.6,,1008.5,
27/05/2000,10.8,7.5,13.8,6.1,,231,24,,1005.4,
28/05/2000,9.8,6.1,13.8,17,,280,21.2,,1001.4,
29/05/2000,12,7.6,16.6,3.8,,252,14.9,,1012.6,
30/05/2000,13.2,10.6,15.3,1.5,,135,7.8,,1013.1,
31/05/2000,14.4,9.2,19.1,,,198,9.4,,1018,
01/06/2000,14.7,13.1,18,1.3,,221,18.2,,1016.1,
02/06/2000,16.2,13.3,19.5,,,231,13.7,,1017.4,
03/06/2000,18.9,13.5,25.2,,,200,8,,1016.5,
04/06/2000,16.2,13.3,18.6,,,244,14.4,,1016.5,
05/06/2000,13.9,11.4,16.3,,,,8,,1018.8,
06/06/2000,14.9,12.3,18.6,,,255,13.2,,1019.7,
07/06/2000,15.8,11.1,21.8,,,242,10.7,,1023.5,
