Date,tmin,tmax,wdir,wspd
01/06/2012,128,214,300,10.3
02/06/2012,117,195,87,16
03/06/2012,110,124,88,16.6
04/06/2012,74,149,23,13.7
05/06/2012,70,144,144,14.9
06/06/2012,117,188,210,18.7
07/06/2012,126,178,165,19.9
08/06/2012,123,163,219,38.7
09/06/2012,108,195,253,28.6
10/06/2012,79,173,135,10.5
11/06/2012,107,130,24,15.7
12/06/2012,103,141,7,12.5
13/06/2012,77,183,120,8.1
14/06/2012,89,186,102,18.1
15/06/2012,124,193,194,26.1
16/06/2012,126,193,210,30.8
17/06/2012,118,204,233,22.3
18/06/2012,110,195,250,13.2
19/06/2012,99,205,238,9
20/06/2012,121,227,76,11.4
21/06/2012,114,204,149,18.8
22/06/2012,112,187,226,30.8
23/06/2012,108,202,229,24
24/06/2012,116,209,238,23
25/06/2012,119,225,270,12.8
26/06/2012,138,223,202,13.3
27/06/2012,174,231,218,13.1
28/06/2012,162,276,168,17.2
29/06/2012,137,216,205,25
30/06/2012,140,216,207,25.2
01/07/2012,106,193,232,22.8
02/07/2012,124,177,182,17.7
03/07/2012,153,193,183,14.6
04/07/2012,157,222,163,15.2
05/07/2012,137,220,222,9.8
06/07/2012,146,190,194,11.8
07/07/2012,120,194,138,15.9
08/07/2012,142,220,357,11.4
09/07/2012,148,182,240,14.6
10/07/2012,133,187,236,14.4
11/07/2012,118,202,258,18.2
12/07/2012,96,193,230,15.3
13/07/2012,130,201,222,18.5
14/07/2012,129,169,282,12.5
15/07/2012,125,188,274,13.6
16/07/2012,128,175,230,22.4
17/07/2012,137,238,257,20.1
18/07/2012,145,192,223,21.8
19/07/2012,131,203,262,19.1
20/07/2012,124,190,323,8.5
21/07/2012,117,207,15,8
22/07/2012,127,233,203,14.2
23/07/2012,126,274,204,14.2
24/07/2012,147,281,188,7.5
25/07/2012,164,302,341,8.2
26/07/2012,162,274,77,12.1
27/07/2012,167,248,0,7.9
28/07/2012,142,216,307,13.5
29/07/2012,110,189,232,15.9
30/07/2012,98,207,242,18.7
31/07/2012,108,208,197,14.7
01/08/2012,128,236,167,15.9
02/08/2012,150,228,215,22
03/08/2012,131,230,196,19.2
04/08/2012,140,213,184,17.8
05/08/2012,125,215,184,12.3
06/08/2012,147,223,237,16.3
07/08/2012,110,203,232,15.6
08/08/2012,147,237,273,10.1
09/08/2012,138,263,332,6.2
10/08/2012,148,264,237,5.8
11/08/2012,147,241,87,17.3
12/08/2012,153,269,128,15.4
13/08/2012,146,238,162,14.5
14/08/2012,174,251,175,12.6
15/08/2012,175,230,126,19.8
16/08/2012,159,229,187,19.3
17/08/2012,179,285,162,18.4
18/08/2012,184,303,235,11.6
19/08/2012,175,305,282,10.2
20/08/2012,168,255,233,12.8
21/08/2012,162,222,259,11.1
22/08/2012,129,234,249,19.2
23/08/2012,126,224,229,11.1
24/08/2012,137,208,185,14.2
25/08/2012,155,225,210,16.7
26/08/2012,134,215,265,17.7
27/08/2012,115,226,171,16.5
28/08/2012,139,242,220,18.8
29/08/2012,134,210,179,18.1
30/08/2012,114,177,279,17.3
31/08/2012,59,188,307,10.5
01/09/2012,132,228,238,13.3
02/09/2012,125,186,238,13.2
03/09/2012,142,242,309,6.3
04/09/2012,138,251,295,10.1
05/09/2012,113,203,9,12
