date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
01/06/2012,17.1,12.8,21.4,0,,300,10.3,,1019.1,
02/06/2012,14.2,11.7,19.5,1,,87,16,,1014.8,
03/06/2012,11.7,11,12.4,8.1,,88,16.6,,1007.2,
04/06/2012,10.6,7.4,14.9,10.4,,23,13.7,,1013.9,
05/06/2012,11.3,7,14.4,6.1,,144,14.9,,1014.5,
06/06/2012,15.2,11.7,18.8,3.8,,210,18.7,,1002.5,
07/06/2012,14.4,12.6,17.8,9.4,,165,19.9,,998,
08/06/2012,13.7,12.3,16.3,6.1,,219,38.7,,998.1,
09/06/2012,14.4,10.8,19.5,0,,253,28.6,,1009.5,
10/06/2012,13.6,7.9,17.3,0,,135,10.5,,1008.4,
11/06/2012,11.9,10.7,13,29,,24,15.7,,1002.2,
12/06/2012,11.8,10.3,14.1,7.1,,7,12.5,,1008.9,
13/06/2012,13.5,7.7,18.3,0,,120,8.1,,,
14/06/2012,13.8,8.9,18.6,0,,102,18.1,,1016,
15/06/2012,15.1,12.4,19.3,7.1,,194,26.1,,1008,
16/06/2012,15.1,12.6,19.3,0,,210,30.8,,1008.4,
17/06/2012,15.6,11.8,20.4,0,,233,22.3,,1016.2,
18/06/2012,14.3,11,19.5,4.6,,250,13.2,,1017,
19/06/2012,15.5,9.9,20.5,0,,238,9,,1019.2,
20/06/2012,17.3,12.1,22.7,0,,76,11.4,,1016.6,
21/06/2012,15.2,11.4,20.4,6.1,,149,18.8,,1005.9,
22/06/2012,14.8,11.2,18.7,2,,226,30.8,,1010.2,
23/06/2012,14.9,10.8,20.2,0.3,,229,24,,1019.4,
24/06/2012,15.9,11.6,20.9,0,,238,23,,1012.4,
25/06/2012,17.2,11.9,22.5,0.3,,270,12.8,,1017.5,
26/06/2012,17.8,13.8,22.3,0,,202,13.3,,1020,
27/06/2012,19.3,17.4,23.1,0,,218,13.1,,1017.6,
28/06/2012,21.4,16.2,27.6,0,,168,17.2,,1005.4,
29/06/2012,16.9,13.7,21.6,0.3,,205,25,,1004.8,
30/06/2012,17.2,14,21.6,0,,207,25.2,,1007.9,
01/07/2012,14.8,10.6,19.3,0,,232,22.8,,1014.1,
02/07/2012,15.3,12.4,17.7,0.3,,182,17.7,,1015.3,
03/07/2012,16.6,15.3,19.3,4.3,,183,14.6,,1013.6,
04/07/2012,18.2,15.7,22.2,6.6,,163,15.2,,1009.5,
05/07/2012,18.2,13.7,22,0.3,,222,9.8,,1009.3,
06/07/2012,15.8,14.6,19,0,,194,11.8,,1007.4,
07/07/2012,15.7,12,19.4,8.6,,138,15.9,,1007.1,
