UK BANK HOLIDAYS,holiday
1-Jan-1998,1
10-Apr-1998,1
13-Apr-1998,1
4-May-1998,1
25-May-1998,1
31-Aug-1998,1
25-Dec-1998,1
28-Dec-1998,1
1-Jan-1999,1
2-Apr-1999,1
5-Apr-1999,1
3-May-1999,1
31-May-1999,1
30-Aug-1999,1
27-Dec-1999,1
28-Dec-1999,1
31-Dec-1999,1
3-Jan-2000,1
21-Apr-2000,1
24-Apr-2000,1
1-May-2000,1
29-May-2000,1
28-Aug-2000,1
25-Dec-2000,1
26-Dec-2000,1
1-Jan-2001,1
13-Apr-2001,1
16-Apr-2001,1
7-May-2001,1
28-May-2001,1
27-Aug-2001,1
25-Dec-2001,1
26-Dec-2001,1
1-Jan-2002,1
29-Mar-2002,1
1-Apr-2002,1
6-May-2002,1
3-Jun-2002,1
4-Jun-2002,1
26-Aug-2002,1
25-Dec-2002,1
26-Dec-2002,1
1-Jan-2003,1
18-Apr-2003,1
21-Apr-2003,1
5-May-2003,1
26-May-2003,1
25-Aug-2003,1
25-Dec-2003,1
26-Dec-2003,1
1-Jan-2004,1
9-Apr-2004,1
12-Apr-2004,1
3-May-2004,1
31-May-2004,1
30-Aug-2004,1
27-Dec-2004,1
28-Dec-2004,1
3-Jan-2005,1
25-Mar-2005,1
28-Mar-2005,1
2-May-2005,1
30-May-2005,1
29-Aug-2005,1
26-Dec-2005,1
27-Dec-2005,1
2-Jan-2006,1
14-Apr-2006,1
17-Apr-2006,1
1-May-2006,1
29-May-2006,1
28-Aug-2006,1
25-Dec-2006,1
26-Dec-2006,1
1-Jan-2007,1
6-Apr-2007,1
9-Apr-2007,1
7-May-2007,1
28-May-2007,1
27-Aug-2007,1
25-Dec-2007,1
26-Dec-2007,1
1-Jan-2008,1
21-Mar-2008,1
24-Mar-2008,1
5-May-2008,1
26-May-2008,1
25-Aug-2008,1
25-Dec-2008,1
26-Dec-2008,1
1-Jan-2009,1
10-Apr-2009,1
13-Apr-2009,1
4-May-2009,1
25-May-2009,1
31-Aug-2009,1
25-Dec-2009,1
28-Dec-2009,1
1-Jan-2010,1
2-Apr-2010,1
5-Apr-2010,1
3-May-2010,1
31-May-2010,1
30-Aug-2010,1
27-Dec-2010,1
28-Dec-2010,1
3-Jan-2011,1
22-Apr-2011,1
25-Apr-2011,1
29-Apr-2011,1
2-May-2011,1
30-May-2011,1
29-Aug-2011,1
26-Dec-2011,1
27-Dec-2011,1
2-Jan-2012,1
6-Apr-2012,1
9-Apr-2012,1
7-May-2012,1
4-Jun-2012,1
5-Jun-2012,1
27-Aug-2012,1
25-Dec-2012,1
26-Dec-2012,1
1-Jan-2013,1
29-Mar-2013,1
1-Apr-2013,1
6-May-2013,1
27-May-2013,1
26-Aug-2013,1
25-Dec-2013,1
26-Dec-2013,1
1-Jan-2014,1
18-Apr-2014,1
21-Apr-2014,1
5-May-2014,1
26-May-2014,1
25-Aug-2014,1
25-Dec-2014,1
26-Dec-2014,1
1-Jan-2015,1
3-Apr-2015,1
6-Apr-2015,1
4-May-2015,1
25-May-2015,1
31-Aug-2015,1
25-Dec-2015,1
28-Dec-2015,1
1-Jan-2016,1
25-Mar-2016,1
28-Mar-2016,1
2-May-2016,1
30-May-2016,1
29-Aug-2016,1
26-Dec-2016,1
27-Dec-2016,1
2-Jan-2017,1
14-Apr-2017,1
17-Apr-2017,1
1-May-2017,1
29-May-2017,1
28-Aug-2017,1
25-Dec-2017,1
26-Dec-2017,1
1-Jan-2018,1
30-Mar-2018,1
2-Apr-2018,1
7-May-2018,1
28-May-2018,1
27-Aug-2018,1
25-Dec-2018,1
26-Dec-2018,1
1-Jan-2019,1
19-Apr-2019,1
22-Apr-2019,1
6-May-2019,1
27-May-2019,1
26-Aug-2019,1
25-Dec-2019,1
26-Dec-2019,1
1-Jan-2020,1
10-Apr-2020,1
13-Apr-2020,1
8-May-2020,1
25-May-2020,1
31-Aug-2020,1
25-Dec-2020,1
28-Dec-2020,1
1-Jan-2021,1
2-Apr-2021,1
5-Apr-2021,1
3-May-2021,1
31-May-2021,1
30-Aug-2021,1
27-Dec-2021,1
28-Dec-2021,1
3-Jan-2022,1
15-Apr-2022,1
18-Apr-2022,1
2-May-2022,1
30-May-2022,1
29-Aug-2022,1
26-Dec-2022,1
27-Dec-2022,1
2-Jan-2023,1
7-Apr-2023,1
10-Apr-2023,1
1-May-2023,1
29-May-2023,1
28-Aug-2023,1
25-Dec-2023,1
26-Dec-2023,1
1-Jan-2024,1
29-Mar-2024,1
1-Apr-2024,1
6-May-2024,1
27-May-2024,1
26-Aug-2024,1
25-Dec-2024,1
26-Dec-2024,1
1-Jan-2025,1
18-Apr-2025,1
21-Apr-2025,1
5-May-2025,1
26-May-2025,1
25-Aug-2025,1
25-Dec-2025,1
26-Dec-2025,1
1-Jan-2026,1
3-Apr-2026,1
6-Apr-2026,1
4-May-2026,1
25-May-2026,1
31-Aug-2026,1
25-Dec-2026,1
28-Dec-2026,1
1-Jan-2027,1
26-Mar-2027,1
29-Mar-2027,1
3-May-2027,1
31-May-2027,1
30-Aug-2027,1
27-Dec-2027,1
28-Dec-2027,1
3-Jan-2028,1
14-Apr-2028,1
17-Apr-2028,1
1-May-2028,1
29-May-2028,1
28-Aug-2028,1
25-Dec-2028,1
26-Dec-2028,1
1-Jan-2029,1
30-Mar-2029,1
2-Apr-2029,1
